Sentences,Label
"Wie dumm und wie wenig qualifiziert ist eigentlich Herr CDU-Vize Bosbach, dass er die so genannte Reichensteuer als Neidsteuer bezeichnet? Das zeigt doch nur, dass soziale Gerechtigkeit, soziales Denken und Handeln für solche Menschen Fremdwörter sind. Er ist für mich der Verlierer der Woche, weil er vermutlich nur Angst um sein eigenes Geldsäckel hat.",0
"Ich kann mich nur wundern, dass 2000 Leute so dumm und blauäugig sind, einer ihnen unbekannten Firma den Gegenwert eines Autos im Voraus und ohne Sicherheit zu überweisen. Da hat man eben Pech gehabt und darf sich nicht beschweren. Aber jede Erfahrung lehrt einen ja was, auch wenn es negativ ist. Bernd Lange, Kattendorf",0
"Der Name Buterfas bürgt ja bei uns vorauseilend für Seriosität, Ehrlichkeit und Vertrauen. Ich kann nicht anders, ich lach",0
"Es ist höchste Zeit, sich öffentlich zu entschuldigen und in Rente zu gehen. Dieses anmaßende und offensichtliche Herumgelüge ist beschämend. Sich mit dem Dalai Lama zu vergleichen zeugt von einem Hang zum Größenwahn, sein Verhalten lässt allen Anstand vermissen. Anstand bedeutet, zu seinen Fehlern zu stehen. Von Anfang an und nicht erst jetzt ... André Fischer, per E-Mail",0
"Ja super, so sind sie, die Radfahrer. Dann kauf dir doch einen vernünftigen Dynamo, mach das dämliche Licht an - und schon geht alles besser. Oder ich hol dich an der nächsten Ecke an einem schönen, verregneten Morgen im Dämmerlicht mit dem Auto runter von deinem Fahrrad. Und Schuld hat dann wieder der Autofahrer, weil das ja immer so ist. Ein paar Euro für die eigene Sicherheit sparen und lieber einen Crash riskieren?",0
"Wie soll's denn nun sein? Sollte man empfehlen, bei Geldbedarf doch einfach schnell einer Frau mit einem sexuellen Übergriff nahe zu treten? Ein neuer Job dürfte in diesen Bereichen nicht zu schwer zu bekommen sein, warum also nicht? Oder kann es sein, dass die ausländischen Mitbürger von diesem Staat etwa nicht auf eine Integration vorbereitet werden und eine wirkliche Integration deshalb nicht stattfindet? Jedenfalls sind Übergriffe dieser Art auch in den Herkunftsländern dieser Mitbürger nicht besonders akzeptiert. Danke dem Chef, der einen solchen Mitarbeiter vor die Arbeitstür setzt.",0
"Ich danke der Morgenpost für die Berichterstattung zur Tötung von Tookie Williams. Meinerseits habe ich bei der US Botschaft in Berlin meiner Empörung Ausdruck verliehen, dass ein Land, welches sich ""christlich"" und ""zivilisiert"" nennt, ebendiese Bezeichnungen nicht verdient hat.",0
"Hiermit spreche ich Trauer, Mitgefühl und Anteilnahme für die Opfer der Katastrophe und Beileid für die Hinterbliebenen aus. Auch den gut ausgebildeten Rettungskräften in Bad Reichenhall ist zu danken, dass sie noch einige Menschen lebend retten konnten.",0
"Wer heute noch an das Märchen einer Fehlverteilung der Kassenärztlichen Vereinigung (KV) glaubt, hat die Problematik nicht erkannt. Es sitzen nirgendwo Abzocker bei den Vertragsärzten, die den anderen etwas wegnehmen. In der KV wird der Mangel verwaltet und der Rest verteilt. Alterspyramide, neue teure Behandlungsmöglichkeiten, Arbeitslosigkeit und ein hoher Anteil von Teilnehmern am Gesundheitswesen, die selbst nicht viel eingezahlt haben, sind Kostenfaktoren, mit denen die Einnahmenseite der Krankenkassen nicht mitkommt. Die Planung passiert in Berlin - neuester Streich (gerade gegen sozial Schwache): Die Bonus-Malus-Regelung ab April 2006: Wenn ich meinem Patienten ein (notwendiges) Medikament verweigere, erhalte ich eine Gutschrift. Wenn ich es verordne, kann es mir passieren, dass ich es später selber zahlen muss, wenn andere Kollegen ""billiger"" verordnen. Der richtige Ansprechpartner unseres Protestes ist also das Bundesministerium für Gesundheit in Berlin!",0
"Der CDU-Senat hat mehr Sicherheit auf Hamburgs Straßen und jedem Stadtteil eine Wache versprochen. Und jetzt? Weniger Wachen, weniger Polizei. Und das vor den WM-Spielen. Die sollen angeblich so bedroht sein, dass Bundesinnenminister Schäuble (CDU) an den Einsatz von Kampfflugzeugen über den Stadien denkt. Um wie viel größer ist dann die Bedrohung zu Land? Macht nichts, Hauptsache Hamburg hat Ole. Obs der Wähler merkt?",0
"""Ich stehe zu den Einsparungen und übernehme die volle Verantwortung"", so Udo Nagel. Schöne Worte, nichts dahinter. Nicht Sie stehen an der Front, sondern viele Kollegen. Nicht Sie baden später die Defizite aus, sondern wir - zu Lasten der inneren Sicherheit, zu Lasten jedes Bürgers. Sie sitzen dann warm und trocken, rauchen gemütlich ein Pfeifchen, suchen im Lexikon nach der Definition von ""Verantwortung"" und denken an die Zeit zurück, als Sie noch Senator in Hamburg waren.",0
"Das ist nicht mehr mein Hamburg. Regiert von einem Operetten-Senat und einem Kasper als Bürgermeister. Diese Clique regiert Hamburg systematisch kaputt. Der neueste Streich ist das gebrochene Wahlversprechen: Die Erhöhung der Inneren Sicherheit.Gebrochen durch massive Kürzungen bei der Polizei. Alle Missstände, welche Rot-Grün seinerzeit seitens CDU-Schill vorgeworfen wurden, sind in kürzester Zeit von diesem Senat noch übertroffen worden. Alle Wähler, die diesem Bürgermeister eine Mehrheit verschafft haben, sollten sich schämen.",0
"Diese Himmel schreiende muslimische Intoleranz, hervorgerufen durch die Hetze verblendeter weltlicher und kirchlicher Führer ist kaum mehr zu toppen! Durch unsensible Karikaturen zutiefst in der Ehre gekränkt, aber ohne jegliche Distanz zu Menschen verachtenden Mordtaten islamischer Fundamentalisten... Was Mohammed selbst wohl dazu sagen würde? Michael Gerber",0
"Was ist in Europa los? Wir hier in Amerika versuchen mit allen Mitteln ein gutes Verhältnis mit der moslemischen Welt zu bekommen, dann veröffentlichen Zeitungen in allen europäischen Ländern diese grotesken Karikaturen unter dem Hut der Pressefreiheit? Es kann nicht von ""richtigen"" Christen gekommen sein, denn Anstand und Beschmutzung einer Religion hat nichts mit Pressefreiheit zu tun. Wundern Sie sich nicht, wenn moslemische Extremisten jetzt wieder einen Grund haben, Angriffe auf Christen vorzubereiten. Wer Hass sät, wird Hass ernten, jeder kennt diese Phrase. Sie nennen es in Europa Freiheit, andere zu beleidigen, richtige Christen tun so etwas nicht. Wissen Sie wie streng die Gesetze hier in Canada und den USA sind? Es ist verboten nach dem Gesetz, auch nur die kleinsten Äußerungen gegen irgendeine Gruppe/Rasse/ Religion/Alter usw. zu machen.",0
"Man sollte hinzufügen, dass diese Zustände für jeden Gefangenen dieser Haftanstalt gelten. Auch für diejenigen, die unschuldig in Haft sitzen. Ich habe diese menschenunwürdigen Zustände am eigenen Leib erfahren. Jeden Tag werden dort Menschenrechte sämtlicher Gefangener, egal welcher Abstammung, mit Füßen getreten. Arkadius Sidorko",0
"So langsam finde ich die ganze Fußball-Diskussion übertrieben. Wen es dabei wirklich noch um Sport gehen würde, würde man mit sportlicher Fairness auch mal eine Niederlage wegstecken, ohne gleich den nationalen Notstand auszurufen. Frank Neumann",0
"Es liegt nicht an der Rolle der Männer, sondern an der Emanzipation und den zu niedrigen Einkommen der Männer. Viele Frauen sind gezwungen, mitzuarbeiten, damit die heutigen Ansprüche befriedigt werden. Meine Eltern hatten drei, meine Frau und ich haben zwei Kinder. Damals konnte der Mann noch die Familie mit seinem Einkommen ernähren. Die Frauen konnten sich allein um Haushalt und Familie kümmern.",0
"Einige Herren behaupten immer wieder, die Emanzipation allein sei schuld am Geburtenrückgang, und schieben damit alles auf die Frauen. Leider gibt es immer noch zu viele Männer, die am überholten Rollenbild festhalten. Diese Herren nehmen für sich in Anspruch, zu arbeiten und Karriere zu machen. Den Frauen, die heute genauso gut und lange ausgebildet werden, gestehen sie das nicht zu. Moderne Frauen wollen arbeiten und nicht nur Mutter und Haushälterin sein. Es ist leicht zu sagen, dass wir mehr Kinder brauchen, wenn Mann die Verantwortung auf die Frau abschiebt. S. Nentwich",0
"Es ist erschreckend, dass die Gesellschaft bei der Überlegung Kinder zu bekommen, die Denkweise ""Kostenfaktor Mensch"" anwendet. Eine Denkweise, die aus der Wirtschaft kommt, über die sich aber alle aufregen. Ich bin gespannt, wann Erwachsene anfangen, den Lebenspartner nach ""Kostenfaktoren"" auszusuchen. Den Staat für den Gebärstreik verantwortlich zu machen, ist zu kurz gedacht. Schließlich war es früher noch schwieriger, Kinder groß zu ziehen (ohne Kindergeld, Erziehungsgeld, Steuerfreibetrag). P. Heldt",0
"Danke für die Einschränkung der ‚unverschuldeten Kinderlosigkeit', aber wie soll man das beweisen? Und bei wem liegt die Beweislast? 40 Jahre habe ich eingezahlt, war nie im Krankenhaus, nie arbeitslos und jetzt soll ich nur die halbe Rente bekommen, weil ich keine Kinder bekam? Ist das sozial und gerecht? Und wo bitte steht im Grundgesetz: Jede Frau ist verpflichtet, Kinder zu gebären?",0
"Kinderlose zahlen genauso in die Kasse ein und finanzieren Kitas, Schulen etc. mit wie der Rest der Solidargemeinschaft. Die Hintergründe sind doch folgende: Viele möchten gern Nachwuchs haben, scheuen sich bei derzeit fünf Millionen Arbeitslosen aber ein Kind in die Welt zu setzen, das als Erwachsener wahrscheinlich keinen Arbeitsplatz bekommt. Zum Glück sind die Frauen emanzipiert und haben genauso Recht auf Arbeit und Karriere wie ein Mann. Aber das Gros der Bevölkerung muss ums nackte Überleben kämpfen. Frau und Mann müssen arbeiten, damit die Miete bezahlt werden kann. Natürlich ist diese Entwicklung bedauerlich. Noch bedauerlicher ist, das Kinderlose meist auch gleich als kinderfeindlich angesehen werden. Oliver Bostedt",0
Ich habe heute den Leserbrief von Herrn Pegel gelesen. Mein Kommentar dazu: Sicherlich muss jeder sterben. Hunderttausende Kranke auf Grund der Nikotinsucht würden aber sicherlich gerne länger und in Gesundheit leben. Marco Schmidt,0
"Ihr Faible für die Bayern und deren Erfolge (die auch wir im Übrigen immer wieder gewürdigt haben) in allen Ehren - die MOPO drückt vorrangig ""unseren"" Hamburger Klubs die Daumen. Münchner Zeitungen halten das völlig zu Recht umgekehrt genauso mit den Bayern und den ""Löwen"". Stellen Sie sich vor, der HSV wird wirklich noch Meister - und in der MOPO halten sich der Jubel darüber und das Mitleid für die Bayern der von Ihnen gewünschten Neutralität wegen die Waage. Spontandemos der Leser vor dem Verlag, Unterschriftenlisten, Boykottaktionen wären die Folge. Wetten, dass ...?",0
"Niemand an der Gewerbeschule Dratelnstraße ""macht Jagd"", die Ermittlungen bleiben allein bei der Polizei. Nur weil der Staat die Aufklärung der Straftat nicht einer Belohnung für ""würdig"" erachtet, hat sich das Kollegium entschlossen, mit der eigenen Initiative (nach Absprache mit der Polizei und anderen Fachleuten) Solidarität mit dem schwer traumatisierten Kollegen zu üben. Zugleich wird damit der Schülerschaft signalisiert, dass man sich nicht ängstlich zurückzieht, sondern deutliche Grenzen setzen will, indem die Aufklärung vorangebracht werden soll.",0
Wer will nicht mehr Sicherheit im Straßenverkehr? Doch bei genauerem Hinsehen geht es dem ADAC um mehr Straßenbau und Förderung des motorisierten Verkehrs. Das ist angesichts der Diskussion um immer knapper werdende Ölreserven und ein dringend nötiges nachhaltiges und ökologisches Verhalten in allen gesellschaftlichen Bereichen absurd! Ein bisschen Radwegebau als umweltpolitisches Feigenblatt macht die Sache auch nicht besser.,0
"Eine neue Studie aus der Türkei zum Thema Ehrenmorde bringt es auf den Punkt: Demnach ist die so genannte Ehre nichts als ein billiges Etikett, hinter dem sich männliche Ängste (Machtverlust), Eifersucht und Neid verbergen. Ein Neidfaktor betrifft die Bildung. Während die verwöhnten Söhne außer Kampfsport, Machogehabe und Gewalt nichts vorzuweisen haben, schaffen die unterdrückten Töchter derweil trotz allem Schulabschlüsse, die ihnen Chancen eröffnen. Chancen, die die Söhne aus lauter Hochmut verspielt haben. Wie bei Hatun. Ist die Sklavin aber erfolgreicher als ihr Besitzer, ist das höchstpeinlich. Leiten diese Männer ihre Herrschaft über die Frauen doch u. a. auch von ihrer angeblichen ""geistigen Überlegenheit"" ab. Die Realität sieht anders aus. Die Erfolge junger Frauen stellen somit einen Gesichts- und Machtverlust dar, der nur mit Mord beantwortet werden kann, um die alte Ordnung wiederherzustellen.",0
"Mit Entsetzen habe ich Ihren Bericht vom 19. April gelesen. Besonders aufgestoßen ist mir, dass ein Jugendlicher mit einer Juja, der Jacke der deutschen Pfadfinder, abgebildet war. Ich möchte mich, und ich spreche ebenso für alle anderen Pfadfindergruppen und Bündischen, ganz klar von jeglichem rechten Gedankengut und der Neonaziszene distanzieren. Pfadfinden steht für Toleranz, Offenheit, Frieden, soziales Engagement, internationale Freundschaft und Demokratie. Christina Dietrich, Verband Christlicher Pfadfinder, Hamburg-Eidelstedt",0
"Da packt einen doch wieder die blanke Wut über so viel menschenverachtenden Aktionismus von so genannten Neonazis. In Brandenburg gibt es jede Menge versteckte Armut, dafür aber viele ""tolle"" Förderprogramme von den Damen und Herren aus dem Berliner Bundestag, die bei so viel Perspektivlosigkeit mit Sicherheit im Sande verlaufen werden. Dem Opfer und seiner Familie gilt mein tiefstes Mitgefühl, dem Täter meine tiefste Verachtung. Gunnar Schmid",0
"Christliche Werte als Maßstab der Erziehung? Meine Kinder wurden religionsfrei erzogen und sind auch brauchbare Menschen geworden, die Respekt und Toleranz anderen gegenüber haben. Die Hervorhebung christlicher Werte heißt nichts anderes als Rückschritt in eine Kultur, die eben auch sehr intolerant Andersdenkenden gegenüber war und noch ist. Wolfgang Töde",0
"Als Lehrer an einer Hamburger Grundschule mache ich beinahe täglich die Erfahrung, dass mir von Eltern und Schülern aus nicht-christlichen Familien mehr Achtung und Respekt entgegengebracht wird als von denen christlicher Herkunft. Insofern kann ich Frau von der Leyens absurd erscheinendes ""Bündnis für Erziehung"" nur so interpretieren: Die Familienministerin hat bemerkt, dass es innerhalb der Christenheit einen Nachholbedarf an grundlegendem Werteverständnis gibt. Jörn Arnold",0
"Na, schau mal einer an: Die Abgeordneten aller Parteien im Kieler Landtag sind sich einig, es gibt 75 Prozent mehr Gehalt. Der Bürger muss auf staatliche Leistungen verzichten, damit der Politiker auf stattliche Leistungen schauen darf - auf eine Gehaltserhöhung um nanomäßige 75 Prozent! So viel Bescheidenheit von den Kieler Abgeordneten treiben dem Bürger die Tränen ins Gesicht. Zum Glück hat er ja die Gewissheit: Wenigstens die Volksvertreter müssen jetzt nicht mehr am Hungertuch nagen!",0
"Demokratie mag manchmal anstrengend sein. Passt der CDU mit ihrer absoluten Mehrheit nicht der Volkswille zum Wahlrecht? Mit knapper Mehrheit will man das Stück Mitbestimmung wieder kappen - ein glatter Raub der Demokratie durch die Hamburger CDU. Volker Bulla, Lokstedt",0
"Der Präsident ist also irre? Dann sind Maßnahmen gegen sein Land wohl in Ordnung?Und demnächst hat er Atomwaffen? Der Iran hat bisher gesagt, dass er die Kernenergie nur zivil nutzen will. Beweise für eine militärische Nutzung ist der Westen bisher schuldig geblieben. Befürchtungen des Westens werden einfach als Tatsache dargestellt. Beweise braucht man eben nicht, wenn es gegen einen ""Irren"" geht. Übrigens: Die Anreicherung von Uran ist nach dem Sperrvertrag das Recht des Iran. G. Busse, Poppenbüttel",0
"Der HSV lässt also 40000 Flyer verteilen, um die Fans um Unterstützung im Endspiel gegen Werder Bremen zu bitten. Echt peinlich! Es gibt einen Verein in Hamburg, der benötigt keine Flyer, damit das Team bedingungslos unterstützt wird. Die AOL Arena ist zwar oft voll und laut, aber Stimmung herrscht in Hamburg woanders! Stefan Martens",0
"Der HSV ""köpft"" sich selbst, seine Tradition in den letzten 20 Jahren: Auf eine gute Saison folgen zehn Spielzeiten gegen den Abstieg. Ich freue mich schon auf die Duelle gegen Bielefeld und Cottbus in der Saison 2006/07.",0
"Warum diese Aufregung? Wir als deutsch-nigerianische Famile sind betroffen und finden die Zahl der rassistischen Übergriffe - milde ausgedrückt - beunruhigend. Eine Demokratisierung des Denkens hat im Osten scheinbar nicht stattgefunden, die Angst vor Fremden ist bis heute geblieben. Wir würden nie auf die Idee kommen, Urlaub in Mecklenburg-Vorpommern zu machen. Allerdings würden wir unsere Tochter auch nicht zum Schüleraustausch in die Südstaaten der USA schicken. Familie Funke-Oshoffa",0
"Über die Werbeversprechen von Mehdorn können Tagespendler nicht mehr lachen. Wurde vor eineinhalb Jahren die Berlin-Verbindung mit 93 Minuten Fahrzeit als Fortschritt vermarktet, wird mit der Einweihung des Berliner Hauptbahnhofs diese auf 121 Minuten ausgedehnt. Natürlich bei gleich bleibenden Preisen. Die Antwort der Servicehotline: ""Sie fahren von Berlin nach München jetzt aber schneller."" Die Folgen für einen Tagespendler sind 50 Minuten frühere Abfahrtszeit, schlechtere Nahverkehrsanbindung (20-Minuten-Takt) und umgerechnet eine Woche weniger Freizeit im Jahr.",0
"Einen größeren Schwachsinn hat man aus Politikermund noch nicht vernommen: Schülern ohne Hoffnung auf einen Ausbildungsplatz (und damit beraubter Zukunft) ""Glauben"" zu empfehlen ist ein Hohn und nur als ausgemachtes Desinteresse zu werten. Entscheidendes hat bisher kein Bildungspolitiker zu Stande gebracht. Prof. Dr. Rolfhermann Geller, Hannover",0
"Wenn ca. 50 Studenten die Gleise besetzen (was sicherlich unangenehm für viele war, ich habe auch meinen Zug verpasst), scheut die Polizei weder Kosten noch Mühen. Hauptbahnhof und anliegende Straßen werden gesperrt und mehrere Hundertschaften in Kampfmontur gehen gegen diese angeblich linksextreme Bedrohung der inneren Sicherheit vor. Wann denken die Verantwortlichen endlich über die Verhältnismäßigkeit der Mittel laut Paragraph 4 des Hamburger Polizeigesetzes nach? Moritz Meier, St. Pauli",0
"Wer in der Politik und Wirtschaft fühlt sich noch dafür verantwortlich, Arbeitsplätze zu schaffen und dafür zu sorgen, dass Löhne gezahlt werden, die ein menschenwürdiges Leben ermöglichen? Die Diskussion um die bösen Missbraucher lenkt doch nur von dem Thema ab, um das es wirklich geht. Viele Arbeitnehmer können, auf Grund der Stundenlöhne im Niedriglohnsektor, von dem, was ihnen gezahlt wird, nicht leben und haben zusätzlich Anspruch auf ALG II. Dagmar Ruhsert",0
"Offensichtlich hat die Industrie vergessen, dass vor ca. zehn Jahren Ingenieure kaum die Chance auf einen Job hatten. Und bei Firmenwechsel ist natürlich der besondere Schutz bezüglich der Kündigung nicht mehr gegeben. In der heutigen Situation und bei den Verlautbarungen unserer Industrierepräsentanten ist das ein ganz wesentliches Argument, den bestehenden Arbeitsplatz zu behalten.",0
"Auf welcher Seite steht der Staat eigentlich? Gern stellen sich unsere Politiker hin und rufen zu mehr Zivilcourage gegen Rassismus auf. Üben denn diese Gegendemonstranten nicht genau das aus, was ihr staatsbürgerliches Recht ist, nämlich Zivilcourage? Jürgen Petersen, Farmsen-Berne",0
"Der Leserbrief von Gerd Reese spricht vielen Anwohnern ähnlicher Lärmquellen aus der Seele, so auch mir! Wohnen Betreiber nicht im Hause, fällt rücksichtsloses Verhalten auf Kosten der Bewohner offenbar besonders leicht. Jene, die als Nachbarn dem betroffenen Umfeld angehören, haben in der Regel natürliches Interesse an sozialer Verträglichkeit und Akzeptanz.Henry Silber",0
"Ich freue mich über das Fahnenmeer. Es heißt: ""Patriotismus ist die Liebe zu den Seinen. Nationalismus ist der Hass gegen die Anderen."" Also ist Patriotismus in Ordnung! Annette Pettersson",0
"Ich freue mich über das Fahnenmeer. Es heißt: ""Patriotismus ist die Liebe zu den Seinen. Nationalismus ist der Hass gegen die Anderen."" Also ist Patriotismus in Ordnung! Annette Pettersson",0
"Die Betrachtung geht von einer falschen Prämisse aus: Schwarz-Rot-Gold waren immer die Farben der Nation, der Demokratie.Die Farben des überzogenen Nationalismus hingegen, sei es des kaiserlichen oder des der Nationalsozialisten, waren Schwarz-Weiß-Rot. Die Anhänger dieser Farbkombination haben Schwarz-Rot-Gold immer gehasst. Der selbstverständliche Umgang mit unseren, aus der demokratischen Tradition stammenden Nationalfarben, ist nicht verkehrt. Jens Kuhne, Winterhude",0
"Mein Jüngster besucht die sechste Klasse. In den letzten zwei Wochen sind nachweisbar 27 Unterrichtsstunden ausgefallen und 18 Stunden vertreten worden, in denen nicht zwangsläufig Fachunterricht erteilt wurde. Ein Springerpool mit Vertretungslehrern existiert nicht mehr. Bildung in Hamburg? Aber nicht unter Dinges-Dierig. Gabriele Pontow",0
"Der wahre Skandal der Tour ist die Art, wie die Teams mit ihren Stars umgehen. Sie sonnen sich in guten Zeiten in ihrem Licht, suspendieren sie aber ohne Beweis und ohne ihnen die Chance zu geben, ihre Unschuld zu beweisen. Das ist unfair. Jens Hellweg, Hamburg",0
"In der Aufregung um die WM hätte ich fast überlesen, dass der amerikanische Schauspieler Nicolas Cage zwei Millionen Dollar für ein Hilfsprojekt für ehemalige Kindersoldaten spendet. Sinnvoll und sozial!Sinniger, als retrospektiv den geschossenen Bär Bruno zu (ver)ehren Ulrike Sewing, Altona",0
"Noch kurz vor der WM dachte ich - wie viele andere (Frauen) vermutlich auch: Wat geiht meck dat an? So habe ich mit ""WM-freien Zonen"" sympathisiert und meinen halbitalienischen Mann belächelt, der schon früh für Fahnen (Italien und Deutschland) und Trikots in allen Familiengrößen gesorgt hat. Aber: Aufgerüttelt durch die informative ""Kicker""-Sonderausgabe, meine beiden völlig WM-begeisterten Kinder, vor allem aber durch die hochinteressanten, täglichen MOPO WM-Specials war ich nach kürzester Zeit wie ausgewechselt. Außerdem ist es schön, hierzulande mal zur Abwechslung einen gesunden Nationalstolz im Alltag zu beobachten. Meine Kinder können das Deutschlandlied mittlerweile auswendig. An dieser Stelle möchte ich mich daher ganz herzlich bei Ihnen bedanken für die konstant positive, informative und äußerst umfangreiche Berichterstattung im Rahmen der WM, die ich ab nächster Woche schmerzlich vermissen werde. Annette Winkel, Ottensen",0
"So, so, es ist also eine ""besondere Ehre"", wenn Angela Merkel bei diesem Kriegstreiber zum Grillen eingeladen wird. Carsten Will, Eutin",0
"Wenn man alles so liest und verfolgt - geht das nicht ein bisschen zu weit? Die Stralsunder Menschen müssen sich ja vorkommen wie zurückversetzt in DDR-Zeiten, wenn damals Helmut Schmidt oder Willi Brandt kam. Nur mit dem Unterschied: Damals wollte man den Jubel vermeiden, heute geht es um die Sicherheit des US-Präsidenten. Friedrich Haacke, Uetersen",0
"Zuerst werden wir bei der Hinfahrt nach Stralsund von der Polizei wie Verbrecher behandelt, nur weil wir von unserem verfassungsmäßig garantierten Demonstrationsrecht Gebrauch machen wollen, und dann dürfen wir lediglich völlig abseits vom Geschehen demonstrieren, damit die Jubel-Deutschen mit Bush und Merkel unter sich bleiben können. Was haben wir doch für eine schöne Demokratie in Deutschland. Jürgen Franke",0
"Israel hat sich stets an Waffenstillstandsabkommen gehalten, im Gegensatz zu Hamas und Hisbollah. Statt Frieden zu halten und die vielen Gelder der EU endlich sinnvoll zum friedlichen Aufbau ihres Landes zu verwenden, wurden fast täglich Raketen auf israelisches Territorium geschossen. Es hätte längst Frieden sein können, aber allein die ""Charta der Hamas"" lässt dies nicht zu. Auch das ist Verbrechen - am eigenen palästinensischen Volk! Dietrich Seebohm",0
"Jeder Interessierte weiß, dass er seine Unschuld mittels einer DNA-Analyse sehr einfach beweisen könnte. Was soll also das Unschuldsgefasel? Gerd Jobmann, Eißendorf",0
"Nicht nur, dass ich der Überschrift des Kommentars ""Dumm wie Brot"" spontan zustimmen möchte, wenn deutlich wird, dass Menschen bewusst oder unbewusst - zumindest aber mit nur mäßigem Verstand - Raubbau mit ihrem Körper betreiben ... Sei es nun beim Umgang mit dem Sonnenbad, mit Drogen, Alkohol, Zigaretten, fetten Mahlzeiten und Bewegungsarmut ... Das Grundproblem liegt im mangelnden Verantwortungsbewusstsein! Wir haben keine Verantwortungsträger mehr herangezogen, sondern nur einen Haufen ungebildeter Mitläufer, von denen sich die meisten jemanden wünschen, der ihnen sagt, wo es im Leben langgeht und was gut für sie ist. Das führt nicht nur häufig zur Belastung des Gesundheitswesens, sondern zu enormen Ausfällen in der Wirtschaft.",0
"Den Geburtstagswünschen möchte ich mich anschließen; eine sicherlich fantastische Frau mit einer riesigen Stimme. Von ""Frumpy"" bis ""Easy In My Soul"" - alles wunderbar. Bei bester Gesundheit wünsche ich Inga Rumpf noch viele begeisternde Auftritte. Franz Jürgensen, Brunsbüttel",0
"Kanzlerin Merkel wird mir mit ihrer Aufrüschungs- und Make-up-Verweigerungshaltung immer sympathischer. Sie ist eben unverfälscht im besten Sinne und hat nicht dieselbe Weiblichkeitsdressur hinter sich wie ""Westfrauen"".",0
